modality,threshold,n_clusters,coverage,silhouette,davies_bouldin,ari,nmi,v_measure,purity,ari_events,nmi_events,purity_events
caption,0.2,20,0.5,0.4221178889274597,1.2875660429434936,0.06455181297608442,0.46068149046792417,0.46068149046792417,0.6144578313253012,0.09138286268331111,0.4051390245805712,0.32653061224489793
caption,0.225,22,0.5758620689655173,0.353951632976532,1.3484083813562184,0.11249609072376077,0.480500491385771,0.480500491385771,0.6345381526104418,0.09421586165772212,0.39418929068791014,0.32653061224489793
caption,0.25,22,0.6482758620689655,0.3117312490940094,1.4404566144759083,0.21768106617696237,0.5359232514634196,0.5359232514634196,0.6827309236947792,0.1881775414195132,0.5427216355579841,0.4489795918367347
caption,0.275,24,0.7172413793103448,0.30460599064826965,1.4829426677482254,0.2762766986655272,0.5608746114284668,0.5608746114284668,0.714859437751004,0.24058459808881394,0.5624580995873453,0.4897959183673469
caption,0.3,21,0.7551724137931034,0.26458868384361267,1.5932567712646255,0.3724308232729668,0.5925769395596387,0.5925769395596386,0.7349397590361446,0.26877534468775344,0.5734894038555708,0.5102040816326531
caption,0.325,21,0.8275862068965517,0.256282776594162,1.6804359217714482,0.4258146868360719,0.6242426057315363,0.6242426057315363,0.7710843373493976,0.3581150051037768,0.6398964739301586,0.5714285714285714
caption,0.35,16,0.8551724137931035,0.21809092164039612,1.784061486219485,0.47689597668672323,0.6219384478148159,0.6219384478148159,0.7670682730923695,0.3581150051037768,0.6398964739301586,0.5714285714285714
caption,0.375,14,0.8896551724137931,0.1681644171476364,1.8687504502097734,0.4193244295223174,0.5810438928725862,0.5810438928725861,0.6746987951807228,0.3202183306800091,0.6334562483014097,0.5714285714285714
caption,0.4,11,0.9,0.18389789760112762,1.9790740080641065,0.4532172702419837,0.5942639086137832,0.5942639086137832,0.678714859437751,0.3007360672975815,0.6108174570840527,0.5510204081632653
caption,0.425,7,0.9103448275862069,0.1442028433084488,2.2841222124247507,0.2922341521899005,0.48560897372458284,0.4856089737245829,0.4979919678714859,0.2788427022758274,0.5729814070524832,0.4897959183673469
caption,0.45,3,0.9206896551724137,0.16110621392726898,1.9150666691938456,0.01217631763112705,0.09694800925422137,0.09694800925422138,0.2570281124497992,0.01208698667459256,0.19100876177686849,0.20408163265306123
caption,0.475,4,0.9344827586206896,0.1385156512260437,2.123430734810799,0.012705397647702605,0.11877756685711138,0.11877756685711138,0.26506024096385544,0.01208698667459256,0.1910087617768685,0.20408163265306123
caption,0.5,2,0.9448275862068966,0.20332874357700348,2.442379507636367,0.0025950739695581523,0.07082449216486368,0.07082449216486367,0.24497991967871485,0.002623672294866912,0.08738903935469838,0.14285714285714285
caption,0.525,2,0.9620689655172414,0.2048572450876236,1.9043783477842413,0.004569666136648008,0.04657514561527281,0.04657514561527281,0.22088353413654618,0.002967359050445104,0.11639217947266305,0.16326530612244897
caption,0.55,1,0.9793103448275862,nan,nan,-0.002809806302701335,0.008581908565786098,0.008581908565786096,0.20883534136546184,0.0,0.0,0.10204081632653061
fused,0.15,25,0.4689655172413793,0.349637508392334,1.4148893032082868,0.041341428328732534,0.45216197792822455,0.45216197792822455,0.6345381526104418,0.055414174831403484,0.3433952808762169,0.2653061224489796
fused,0.175,21,0.5137931034482759,0.3364313840866089,1.4811517193835717,0.1002595523588299,0.5044927271149063,0.5044927271149063,0.6827309236947792,0.09604791304669304,0.4192022579532183,0.32653061224489793
fused,0.2,25,0.6275862068965518,0.332157164812088,1.4339825797929509,0.19142000054354896,0.5786447702893562,0.5786447702893563,0.7429718875502008,0.20641125879593433,0.5876375414230564,0.4897959183673469
fused,0.225,19,0.6793103448275862,0.3272183835506439,1.509873332114531,0.35965990385064733,0.6508360332387094,0.6508360332387094,0.7751004016064257,0.27827145465611686,0.6488110823892227,0.5306122448979592
fused,0.25,23,0.7793103448275862,0.2926000654697418,1.6090110754661568,0.4568870046138116,0.7006588784422313,0.7006588784422314,0.8313253012048193,0.43151788591685464,0.7371668243651411,0.6326530612244898
fused,0.275,19,0.8206896551724138,0.2834234833717346,1.676894957752445,0.54885243306341,0.7426111832494995,0.7426111832494995,0.8594377510040161,0.45809781273040057,0.7488528583106091,0.6326530612244898
fused,0.3,14,0.8413793103448276,0.2965940237045288,1.7324205365615748,0.7592870699389928,0.8010755085045457,0.8010755085045456,0.8473895582329317,0.37209302325581395,0.7056896757724488,0.5306122448979592
fused,0.325,13,0.8655172413793103,0.2895316183567047,1.7822677725434735,0.8156905049848919,0.8321362647135707,0.8321362647135707,0.8674698795180723,0.37209302325581395,0.7056896757724488,0.5306122448979592
fused,0.35,13,0.9310344827586207,0.27294909954071045,1.8016944090146025,0.8864437591386665,0.8794708064036232,0.8794708064036232,0.8835341365461847,0.3120668206859783,0.7156287799092863,0.5510204081632653
fused,0.375,10,0.9413793103448276,0.27102139592170715,1.8294931157805259,0.7373147033687317,0.8006720455705332,0.8006720455705331,0.8473895582329317,0.2863408873643367,0.6875797382905782,0.5306122448979592
fused,0.4,10,0.9689655172413794,0.2645263075828552,1.89278248725821,0.7604613366256654,0.8233192247634199,0.8233192247634199,0.8594377510040161,0.30378336212180307,0.6968361597773521,0.5306122448979592
fused,0.425,6,0.9793103448275862,0.2457726150751114,2.0038662654594357,0.709712527735718,0.7877483680426618,0.7877483680426619,0.8232931726907631,0.1477948191091216,0.5236176978177367,0.3469387755102041
fused,0.45,3,0.9793103448275862,0.16488251090049744,2.7347454999917624,0.3330997545676624,0.5121010363651878,0.5121010363651877,0.42971887550200805,0.1417141209543718,0.478340968043196,0.2857142857142857
fused,0.475,2,0.9793103448275862,0.14682094752788544,2.520249159005718,0.019721883690186397,0.10983776134380802,0.10983776134380802,0.2289156626506024,0.03357314148681055,0.21424623372447768,0.1836734693877551
fused,0.5,1,0.9896551724137931,nan,nan,-0.0006900589033530177,0.006205875717370028,0.0062058757173700276,0.20481927710843373,0.0,0.0,0.10204081632653061
fused,0.525,1,1.0,nan,nan,0.0,0.0,0.0,0.20080321285140562,0.0,0.0,0.10204081632653061
fused,0.55,1,1.0,nan,nan,0.0,0.0,0.0,0.20080321285140562,0.0,0.0,0.10204081632653061
